type	prod0	prod1	prod2	prod3	prod4	prod5	prod6	prod7	prod8	prod9	daysLate
1	23	23	17	15	21	23	17	38	23	20	1
0	12	12	32	15	21	41	16	36	11	22	15
0	12	27	22	15	27	29	20	32	29	9	57
1	12	39	20	16	20	19	20	30	11	35	30
0	11	25	22	15	27	47	20	35	11	34	15
1	34	22	22	15	16	24	22	23	15	23	19
1	27	20	16	14	20	26	23	32	13	21	26
1	20	19	14	11	17	25	20	27	26	21	27
1	5	39	18	15	27	20	21	29	18	36	50
1	15	35	23	17	19	25	18	30	9	31	32
1	14	46	26	15	20	25	22	30	12	30	35
1	9	40	20	15	18	22	20	28	16	32	44
0	12	39	20	14	20	25	25	34	9	15	4
0	7	28	23	15	22	28	18	25	23	18	41
0	5	20	14	12	20	21	19	29	32	26	57
0	12	29	17	12	20	44	23	26	11	46	30
1	20	36	24	9	19	19	20	24	19	36	37
0	12	39	20	16	18	24	16	29	12	19	22
0	9	38	21	26	27	28	21	29	15	15	19
1	17	16	20	16	21	17	23	33	25	17	14
0	10	20	34	12	12	34	20	23	14	19	18
1	29	19	23	16	17	22	20	30	18	16	16
0	10	20	20	19	25	43	20	35	14	32	10
1	16	27	23	18	21	23	21	22	24	25	22
1	24	19	20	12	16	32	19	34	27	23	3
1	31	12	19	18	20	27	25	32	15	20	24
0	13	17	21	14	14	47	21	33	15	44	17
1	12	16	33	15	20	31	20	27	19	20	26
1	40	25	20	14	17	25	19	29	20	23	15
1	21	20	20	12	23	24	19	17	26	19	2
1	12	33	16	18	22	22	19	25	10	36	56
1	18	22	20	20	24	19	21	33	25	15	5
0	10	20	22	14	25	46	24	32	14	42	1
1	15	40	20	17	20	25	20	24	15	34	46
0	11	31	25	15	20	38	20	30	15	22	20
1	30	16	23	16	20	25	19	25	11	24	28
1	9	39	21	15	20	26	20	30	15	31	45
0	16	20	18	11	20	45	22	24	14	28	16
0	12	21	16	19	22	25	19	36	30	24	31
1	28	16	20	15	19	22	19	34	18	21	1
1	15	21	21	24	20	20	16	25	21	19	30
1	10	45	22	13	22	28	18	29	16	28	39
0	13	23	19	17	26	31	19	26	29	30	50
0	12	19	22	18	18	25	18	34	29	22	30
0	13	27	18	12	20	53	27	37	11	39	22
0	10	21	25	19	16	39	21	31	13	18	1
0	12	16	27	18	25	38	19	20	12	18	13
1	22	19	24	9	13	19	11	33	26	18	10
0	11	27	21	18	24	27	19	25	27	25	32
0	14	22	18	18	22	16	24	32	28	24	46
0	18	22	19	10	17	26	20	31	29	22	57
1	23	22	19	13	17	26	19	34	18	29	11
1	12	43	28	9	21	26	18	29	14	23	32
0	8	26	19	19	11	21	20	33	29	20	44
1	7	34	16	10	22	25	21	26	15	38	29
0	10	32	21	11	25	25	16	35	15	17	9
1	22	30	18	11	16	25	17	38	26	21	9
0	12	15	19	18	16	16	19	23	28	21	33
0	12	16	15	19	19	48	23	30	23	32	30
0	17	20	33	13	18	35	18	24	18	18	5
0	9	40	22	16	27	25	18	34	13	15	11
0	14	46	19	17	18	28	20	25	18	11	27
0	10	44	18	20	20	18	15	32	18	20	25
1	11	39	21	13	21	23	22	31	18	26	44
0	12	11	24	11	17	54	19	31	13	32	5
1	21	27	20	15	22	25	21	28	27	20	24
0	12	23	23	8	17	36	17	30	11	16	10
0	6	14	30	13	25	35	19	33	15	26	6
1	28	23	20	19	19	25	20	32	12	18	7
0	12	20	28	14	15	34	18	38	12	17	30
1	11	43	20	17	21	20	21	33	11	30	51
1	13	19	22	17	21	27	23	33	22	23	30
0	10	23	17	20	21	23	21	23	32	28	42
1	25	26	20	15	21	18	20	28	15	16	14
0	13	20	22	15	19	44	19	24	14	49	19
0	16	30	22	12	24	24	21	32	25	21	33
1	17	21	18	15	20	27	19	27	27	20	0
0	12	28	18	12	19	22	28	30	30	16	59
0	8	21	19	17	22	37	23	27	17	26	22
0	12	16	18	22	20	45	20	31	15	33	10
1	10	43	20	18	19	25	20	39	14	34	36
1	27	21	18	15	21	23	20	35	15	20	16
1	20	28	23	17	17	27	22	32	25	22	10
1	19	22	17	12	21	24	19	33	26	18	28
1	10	40	20	15	23	26	19	42	20	28	45
0	19	32	19	15	15	26	19	31	16	30	16
0	13	16	30	9	18	36	21	28	14	12	26
0	15	30	32	15	25	36	18	34	13	16	18
1	13	35	19	17	15	26	20	30	12	39	39
1	20	24	16	15	18	19	24	30	25	19	13
0	11	19	21	13	18	49	20	29	17	43	3
0	10	50	20	19	24	25	22	33	17	17	28
1	20	20	20	18	20	29	20	36	19	18	24
1	35	20	20	13	14	27	17	37	16	20	21
1	27	29	20	14	20	20	16	29	15	20	13
0	6	26	20	11	18	21	20	30	30	19	57
0	14	22	18	16	17	42	19	31	19	41	13
0	13	18	22	14	21	22	21	32	30	20	41
1	22	23	20	24	19	23	20	23	25	15	3
0	14	20	21	14	24	46	20	27	10	43	19
0	13	21	18	16	17	25	21	25	31	21	31
0	12	28	18	12	20	25	23	30	32	12	51
1	13	35	19	15	14	28	25	25	13	38	48
0	10	22	30	10	19	35	18	33	16	17	28
1	30	16	20	13	20	25	20	31	14	20	26
1	22	20	18	16	22	27	23	37	27	15	7
0	10	20	19	25	25	25	20	36	27	17	32
0	16	30	22	15	19	45	19	42	15	31	25
0	12	42	26	14	23	35	19	33	15	24	21
1	31	19	20	14	24	23	20	38	14	9	26
0	9	35	24	12	22	27	16	32	15	19	10
0	10	20	19	22	25	25	20	21	29	17	46
1	20	12	20	13	19	25	25	31	25	25	25
0	16	17	21	12	21	45	18	38	13	34	18
0	15	26	15	15	22	41	16	34	15	42	2
1	16	23	18	11	19	20	19	26	23	20	13
1	11	41	22	13	20	22	16	30	17	30	39
1	12	33	20	20	16	19	22	32	15	34	58
0	12	20	18	15	20	23	20	26	30	23	47
0	12	9	27	21	15	39	22	29	14	43	10
1	14	43	22	19	20	31	21	38	7	31	29
0	12	24	20	15	17	41	20	28	12	38	15
1	24	17	22	17	20	23	20	33	15	21	26
0	12	47	19	22	19	23	18	30	16	25	29
0	12	37	20	16	19	24	21	33	10	21	15
0	12	24	16	11	20	23	17	39	26	17	53
1	13	38	23	11	17	24	18	33	11	30	49
0	12	19	26	13	24	34	22	22	16	17	7
1	28	7	15	12	22	24	20	31	17	16	23
0	12	11	33	13	19	38	21	30	14	30	29
0	15	44	19	17	24	23	22	24	15	25	22
0	15	21	31	17	23	35	17	23	15	22	15
0	8	21	22	8	20	41	20	31	11	34	4
0	10	43	22	21	28	26	23	31	15	19	23
0	9	49	19	13	27	23	20	32	16	24	0
0	10	16	18	15	23	38	18	26	15	29	10
1	9	32	22	18	20	23	23	30	19	42	38
1	21	19	21	20	17	22	21	36	29	20	13
1	10	33	16	9	21	22	21	39	13	28	54
0	10	26	21	15	16	23	20	28	28	29	47
0	16	22	20	16	17	46	20	28	14	43	0
0	9	13	26	15	25	32	20	29	36	20	55
0	20	18	21	15	20	29	20	30	21	28	23
1	12	23	23	12	22	45	20	27	13	35	9
0	9	38	26	17	22	19	25	30	16	29	9
1	18	19	20	8	19	25	18	33	17	18	21
0	8	24	16	13	9	29	22	34	30	21	47
1	18	17	20	15	16	28	26	30	22	20	24
1	35	28	20	15	11	19	21	30	14	20	26
0	12	36	22	10	24	25	19	32	15	21	1
1	25	20	22	15	24	25	19	29	21	24	24
1	32	10	17	17	20	27	23	27	13	19	3
0	14	20	18	16	19	27	18	33	16	20	24
0	21	13	24	17	20	39	15	25	20	39	16
1	12	39	20	15	19	25	25	30	14	30	31
0	10	18	20	10	14	22	21	30	28	17	46
1	26	30	13	22	19	25	17	34	20	26	23
0	12	16	31	15	16	36	22	28	12	17	10
0	11	15	17	15	20	22	18	36	30	18	35
1	23	19	27	7	14	31	18	31	24	14	20
0	9	44	20	23	19	25	20	31	15	20	26
0	15	41	18	16	22	29	19	35	15	29	1
1	20	25	17	12	18	34	18	30	23	28	4
0	14	42	14	14	20	24	20	39	10	23	21
0	12	12	32	11	20	39	20	34	14	23	14
1	23	20	20	14	25	25	24	27	26	21	30
1	8	40	27	9	18	24	17	30	15	29	29
0	18	17	28	13	23	40	21	30	15	19	9
0	12	20	12	19	26	20	21	27	30	22	48
0	10	22	17	19	22	45	18	33	15	40	23
1	40	21	20	17	27	25	17	30	15	20	17
1	10	43	20	15	21	25	18	34	16	34	48
0	14	31	20	9	26	24	20	21	14	20	24
1	20	22	17	13	19	25	20	25	21	21	27
0	7	23	17	15	20	29	20	34	28	22	55
0	16	34	19	22	15	23	21	25	16	25	6
0	13	20	34	15	19	38	18	28	16	20	1
0	12	37	23	15	20	21	23	30	14	22	26
1	36	23	19	18	17	25	20	38	13	18	5
0	10	25	30	15	21	35	16	25	15	20	15
0	12	18	32	15	25	35	21	36	17	20	2
1	20	20	22	15	22	25	21	29	24	20	11
0	13	17	22	16	23	42	18	29	14	40	27
0	10	40	27	13	21	28	17	23	14	24	1
0	12	43	16	18	19	24	23	28	17	27	29
0	8	20	12	15	21	41	25	30	18	45	12
1	24	20	23	16	20	27	20	40	22	18	17
0	12	23	23	20	20	40	19	26	12	40	0
0	15	36	21	15	20	27	19	32	13	21	5
1	13	38	23	14	14	28	16	29	15	26	36
0	10	17	21	15	18	24	25	30	27	22	44
1	9	29	22	17	21	25	22	33	15	34	57
1	12	34	18	14	26	22	23	30	18	29	32
0	11	27	22	11	18	45	24	25	18	37	23
1	22	21	21	16	20	20	15	37	27	20	6
0	9	13	26	12	20	39	20	28	20	38	12
0	13	29	20	9	20	48	18	29	17	36	8
1	33	20	19	12	24	34	27	30	17	19	3
0	11	25	18	12	19	41	20	28	12	33	15
1	15	24	23	13	19	25	20	29	24	19	29
0	13	40	20	17	18	29	21	44	18	20	11
1	32	15	20	16	21	30	27	30	15	21	22
0	13	27	20	12	19	20	20	36	34	21	52
0	12	12	19	11	22	28	20	29	27	19	55
1	13	52	15	13	28	26	20	30	18	31	46
0	15	23	16	17	18	22	20	28	32	20	49
1	35	28	22	25	20	24	16	35	15	24	14
1	30	23	24	15	15	18	20	27	18	17	1
1	24	21	20	11	17	25	18	30	27	23	30
1	20	21	20	17	11	25	25	29	25	24	17
0	12	20	22	12	14	19	25	29	30	22	33
0	7	17	30	31	17	37	20	27	15	16	14
0	12	20	26	16	22	40	23	24	15	24	21
1	24	16	21	23	23	24	19	30	24	20	1
1	12	12	20	15	29	38	23	30	16	32	23
0	7	25	23	15	17	22	24	30	31	20	36
0	13	20	20	11	12	41	22	36	15	45	0
0	13	13	28	10	17	38	20	24	18	20	14
0	12	40	20	15	24	29	23	24	10	22	14
0	13	20	19	17	21	25	19	26	29	21	45
0	11	19	27	14	22	29	19	20	16	31	12
0	14	43	20	15	19	27	18	34	12	24	20
0	15	17	31	21	18	37	16	36	15	20	28
0	18	36	15	12	21	24	25	33	16	23	29
1	10	39	20	13	18	24	20	24	14	30	32
0	11	27	32	10	22	35	19	29	15	31	29
0	11	36	24	14	21	23	18	25	11	21	30
0	10	23	19	7	9	27	17	23	27	24	39
1	27	22	20	12	22	25	17	27	21	25	24
0	14	20	21	15	15	45	21	33	19	37	23
1	27	19	16	15	20	23	20	33	16	22	5
0	12	25	29	10	20	35	25	40	13	22	12
1	11	50	15	20	20	28	20	32	18	27	55
0	7	41	20	15	20	29	20	31	22	17	2
0	9	22	29	19	17	36	21	29	18	23	19
0	15	15	27	19	25	39	17	31	19	25	14
0	13	40	18	17	25	30	18	21	17	25	6
0	11	21	33	12	20	30	19	31	17	25	5
1	20	19	20	17	20	25	20	30	14	21	2
1	10	23	28	13	21	36	21	28	12	19	3
0	12	20	18	15	24	45	24	34	14	41	10
0	14	24	19	14	17	44	17	38	18	45	15
0	9	25	20	16	17	25	19	31	26	17	54
0	15	40	20	15	17	25	20	23	20	13	21
1	28	23	20	14	20	21	20	33	15	22	15
0	4	24	25	18	21	24	19	24	14	25	24
1	23	22	17	15	25	19	22	34	10	23	3
0	12	14	21	15	22	25	18	30	14	18	6
1	21	22	20	14	21	26	12	33	27	17	20
0	14	20	20	12	12	30	20	29	29	20	37
0	10	15	37	11	25	43	21	36	17	21	24
1	20	17	22	15	33	25	20	28	22	20	9
1	8	37	23	12	20	25	17	29	13	16	13
1	14	38	17	12	21	23	16	31	14	29	39
0	15	43	19	19	22	23	18	28	14	17	6
0	14	32	27	17	20	27	17	23	9	26	21
0	12	16	19	13	27	22	21	36	30	26	58
0	17	12	30	10	22	35	21	33	16	13	7
1	32	19	20	9	20	25	19	28	15	21	30
1	14	42	18	6	14	24	18	23	18	33	38
1	20	23	18	20	20	20	22	37	24	20	6
1	14	51	21	19	25	22	20	36	13	32	56
0	12	27	21	18	18	46	20	39	15	40	19
1	15	35	18	12	21	24	20	30	16	27	56
1	22	21	19	15	21	30	23	30	26	21	14
1	30	25	20	11	24	29	20	29	15	16	9
1	25	22	21	7	17	28	25	37	15	26	3
0	18	12	20	20	20	28	25	30	25	15	23
1	23	9	20	13	14	25	18	27	25	19	18
0	12	36	18	13	21	22	18	19	18	25	13
0	12	43	19	15	18	24	21	23	16	24	4
0	12	16	19	11	21	20	17	25	31	22	40
1	32	15	19	9	22	26	23	30	13	21	0
1	10	36	19	17	20	20	20	33	15	36	34
0	12	28	18	12	18	53	17	32	15	39	11
0	20	22	27	17	22	42	23	28	16	19	10
1	28	28	20	6	24	21	19	31	18	26	25
0	11	42	23	17	13	32	17	24	19	28	23
0	8	20	19	19	15	32	19	29	31	21	49
0	11	40	20	10	15	24	21	32	12	20	14
0	13	15	20	15	25	45	19	40	18	41	14
0	12	26	26	15	26	29	20	32	11	19	28
0	14	28	20	12	18	23	19	34	15	20	3
1	17	41	20	18	18	23	19	37	14	27	57
0	12	21	30	16	20	34	22	35	12	19	25
1	20	22	22	18	16	22	19	33	18	24	23
0	12	33	20	7	23	26	21	25	17	21	6
1	34	26	18	16	15	25	22	29	17	11	27
1	16	20	17	21	28	25	19	31	30	20	3
0	17	24	36	22	27	36	18	29	18	25	18
0	12	19	16	19	20	21	21	33	29	21	56
0	10	22	28	12	23	34	21	34	10	21	22
1	8	40	18	13	14	23	21	26	15	26	55
1	8	44	20	22	20	25	21	27	13	30	42
0	4	16	20	9	26	28	20	30	29	19	31
0	17	18	37	12	26	32	20	27	17	28	1
1	23	23	17	15	25	26	20	30	26	20	11
1	30	11	20	13	25	25	22	21	18	13	14
0	6	43	23	12	19	29	15	27	10	19	14
0	12	20	25	13	18	42	22	30	16	43	0
1	19	22	24	16	18	23	23	28	25	22	21
0	14	23	21	14	26	25	16	28	30	24	39
1	36	23	23	15	20	21	21	30	15	21	6
1	30	20	21	19	19	23	17	28	12	13	10
0	13	10	20	16	23	26	22	30	29	17	58
0	12	17	15	14	19	25	19	38	27	19	36
1	18	15	18	14	16	28	16	24	30	20	3
0	13	22	20	15	13	45	22	29	17	37	1
1	19	20	18	15	23	25	14	30	22	24	17
0	13	38	24	13	20	22	20	23	16	28	24
1	10	28	18	15	20	26	19	35	16	35	30
1	25	18	24	18	15	26	21	29	15	23	19
1	10	41	22	6	22	24	21	19	16	31	39
1	27	22	23	12	18	27	22	27	14	18	10
1	13	39	20	15	21	28	20	26	10	33	52
0	11	17	29	16	23	27	21	28	15	20	29
1	12	40	20	15	18	23	20	31	12	28	44
0	15	10	18	15	19	49	19	31	15	51	25
0	7	14	20	19	20	26	18	32	30	18	56
0	9	12	21	16	20	21	23	26	25	22	49
0	13	31	18	17	28	29	22	39	15	24	17
0	12	47	22	12	18	25	22	26	18	25	4
0	16	21	17	16	23	25	19	32	30	20	36
1	12	39	24	11	24	32	20	31	15	36	47
0	9	26	29	13	23	36	19	24	12	18	16
1	13	15	20	10	20	25	24	30	22	13	32
0	11	45	19	9	22	28	20	30	15	19	1
0	5	12	21	18	18	45	15	31	17	39	15
0	11	33	25	12	25	25	22	31	14	31	38
0	12	48	12	12	20	27	20	23	15	24	3
0	12	26	22	15	23	46	18	34	13	33	30
0	12	13	28	16	25	38	24	30	17	19	28
0	6	23	21	15	18	20	19	35	30	23	53
0	11	20	35	17	26	33	21	27	12	27	30
1	20	20	16	16	20	25	20	32	25	20	19
0	12	19	19	18	29	44	22	33	15	33	25
1	35	24	24	10	20	27	24	33	9	18	19
0	12	33	20	8	16	38	21	27	16	46	21
1	12	35	22	20	15	27	18	26	19	29	58
1	16	13	21	15	21	28	20	33	22	16	17
1	25	25	22	10	18	25	20	29	12	17	30
0	12	20	30	19	24	38	22	32	17	15	1
1	33	15	20	14	16	18	22	31	18	21	12
1	26	15	18	10	21	23	20	39	20	20	17
0	12	40	24	15	18	27	21	32	15	21	26
1	20	25	22	13	23	26	19	34	26	17	2
0	12	20	20	10	20	42	18	30	18	44	3
0	13	22	19	15	17	46	19	28	17	40	29
0	11	22	31	15	21	29	18	31	16	20	14
0	11	34	23	19	18	25	20	31	20	19	19
0	8	23	20	24	23	22	19	39	34	28	41
0	11	14	19	14	27	35	16	29	31	20	56
1	12	46	22	18	19	25	20	35	12	23	59
0	15	19	20	12	19	25	20	22	29	17	59
1	30	24	20	16	21	23	20	31	15	18	23
0	12	21	22	21	16	26	20	32	27	23	53
1	30	20	19	11	21	34	25	37	14	17	12
1	22	16	23	19	20	23	20	21	26	17	21
0	8	25	31	19	24	33	22	38	12	23	11
0	14	17	21	7	23	28	20	28	33	18	52
0	10	41	19	18	20	21	20	27	11	20	18
0	11	35	23	19	26	26	18	30	15	14	23
0	13	18	21	19	20	28	19	21	29	23	49
1	14	38	22	15	18	19	20	27	19	30	54
0	17	49	17	8	21	25	22	25	15	20	29
1	15	47	23	14	16	30	18	34	16	36	30
0	14	33	21	19	15	26	15	40	15	19	8
0	12	20	29	22	19	37	19	28	9	22	3
1	13	35	24	12	18	25	15	22	13	28	36
0	11	26	30	15	28	35	24	28	15	14	17
0	9	33	20	12	22	22	22	29	17	14	7
0	12	40	20	13	20	31	19	34	22	14	14
0	13	20	31	14	17	36	18	25	17	22	8
1	23	18	20	18	20	30	20	33	25	13	24
1	13	34	19	20	17	28	19	22	27	19	25
0	16	24	20	19	16	49	22	22	15	40	27
0	13	22	27	15	22	31	23	29	15	22	30
1	33	15	21	23	22	25	16	33	14	20	7
1	9	35	24	12	25	27	18	23	15	24	29
0	14	44	23	15	11	20	20	32	9	20	12
1	20	20	20	15	25	17	20	33	25	18	1
0	10	25	20	8	23	48	19	31	15	42	18
0	15	37	20	17	17	23	20	30	11	23	23
1	18	20	20	15	22	30	20	33	28	27	28
1	20	19	20	17	15	25	21	31	25	23	6
1	29	16	21	18	18	12	17	31	14	13	15
1	24	24	21	17	20	18	17	27	25	22	19
0	12	51	19	20	19	27	13	32	13	21	11
0	12	16	22	9	18	28	24	34	28	14	54
1	24	23	17	12	15	21	15	23	25	17	9
1	22	13	20	20	19	23	28	30	28	11	14
0	12	15	28	9	18	35	21	39	17	16	8
0	10	18	20	13	21	42	23	32	16	40	20
0	10	40	23	14	21	25	20	37	15	23	7
1	12	42	23	22	13	22	22	28	9	26	51
0	15	17	20	19	20	39	23	32	13	40	21
1	13	36	15	17	26	29	15	31	16	28	55
1	32	25	20	6	17	27	19	36	11	17	13
1	25	24	14	19	26	29	20	27	24	26	26
0	16	16	18	17	21	41	21	31	17	43	15
0	4	49	19	15	23	25	15	29	14	22	20
1	32	24	22	13	11	23	21	31	11	17	23
0	14	20	28	15	15	35	23	36	14	23	19
0	8	19	30	8	18	28	20	35	17	28	7
0	7	17	16	17	19	40	20	23	14	38	30
0	14	13	22	16	18	44	19	28	15	32	5
0	13	15	23	9	19	33	19	18	15	17	14
0	14	18	21	11	21	25	20	25	30	17	51
0	12	23	16	17	16	45	23	35	16	42	6
0	12	21	20	17	21	40	26	36	15	33	14
1	18	22	21	14	21	25	21	31	25	21	24
0	16	12	16	11	15	53	21	17	12	31	6
0	14	38	19	16	19	26	22	29	13	19	7
0	8	18	23	24	23	24	16	25	32	21	52
0	11	36	18	23	16	26	21	35	16	16	7
0	12	17	30	12	23	38	19	30	16	22	23
0	18	40	20	18	20	25	23	32	15	20	6
0	12	27	20	14	15	41	20	33	17	38	29
1	16	24	19	9	18	22	21	40	29	21	3
0	8	22	31	14	22	37	17	33	12	13	12
0	12	16	38	19	23	27	19	26	11	22	14
1	15	43	20	16	20	22	17	30	13	28	31
0	12	34	18	14	11	15	18	42	15	18	28
0	16	43	19	20	20	26	20	32	20	23	23
0	12	41	21	17	18	19	24	30	8	21	16
1	12	37	19	16	17	21	19	33	15	30	51
1	36	13	20	23	28	21	20	32	9	20	24
0	5	20	22	16	20	23	16	33	30	20	30
0	16	20	20	15	20	47	20	32	16	39	21
0	11	18	33	18	25	32	20	17	19	18	12
0	12	20	20	10	18	42	22	22	19	46	28
0	12	20	20	15	20	41	20	27	9	40	23
0	8	40	19	15	12	29	20	29	13	21	26
1	13	42	20	8	21	17	14	32	17	31	36
1	40	21	18	16	20	28	23	26	14	17	11
1	32	25	25	15	19	26	14	33	15	14	20
0	12	19	18	16	16	41	12	25	19	39	26
1	24	20	19	14	16	25	20	36	27	30	23
1	20	22	16	8	21	25	20	34	26	20	17
0	6	21	21	17	20	49	20	30	18	50	17
0	11	16	28	7	28	36	24	28	14	14	19
0	12	22	18	10	20	44	20	31	14	30	17
0	10	15	20	16	17	25	20	29	29	14	30
0	15	10	32	14	18	39	19	35	9	15	9
0	12	17	29	8	21	42	21	32	16	38	11
1	22	24	21	17	19	26	17	28	24	26	7
1	29	18	20	14	19	32	19	24	18	20	22
0	12	31	23	17	24	45	20	30	15	40	8
1	15	23	18	15	20	29	16	27	29	19	1
1	15	47	17	10	20	26	20	28	14	26	59
0	20	19	18	15	18	22	19	24	32	20	38
0	11	13	19	21	16	42	24	27	16	40	21
1	22	21	20	10	17	21	21	32	24	14	28
1	31	15	19	19	16	26	23	23	11	22	3
1	30	17	20	15	22	24	24	27	13	20	7
0	12	21	15	19	21	25	19	28	28	20	53
0	15	18	19	17	23	20	18	32	33	22	51
1	27	20	18	17	19	25	17	27	26	19	17
1	32	20	21	16	12	26	14	28	19	18	19
0	15	40	21	14	15	26	14	36	18	26	4
0	10	23	21	14	19	29	24	39	30	25	48
0	10	20	26	15	26	33	20	28	18	25	18
0	12	34	20	18	27	16	20	33	15	21	23
1	22	13	23	20	22	33	20	30	25	16	5
0	11	22	21	17	17	45	21	34	16	47	23
1	21	21	20	9	18	30	11	35	26	18	6
0	12	31	17	13	25	20	21	27	15	23	26
1	6	49	20	10	15	31	20	38	17	24	8
